live,city,lat,long,description
2,Disneyland,33.812,-117.919,
2,"San Diego, CA",32.696,-117.1578,
2,"Irvine, CA",33.643,-117.8394834,I had a dance competition here
1,"Santa Barbara, CA",34.414,-119.848,
1,"Redding, CA",40.5865,-122.3917,I grew up in Redding from 2-12 years old
1,"Santa Rosa, CA",38.456,-122.72,I was born in SR and spent 
2,"Leonard Lake, CA",39.271,-123.3691029,
2,"Bodega Bay, CA",38.35663,-123.0670616,
1,"Sacramento, CA",38.598,-121.4158656,
2,"Forestville, CA",38.503,-122.871,
2,"Overland Park, KS",38.9378,-94.70061497,
2,"Kansas City, MO",39.099,-94.574,My sister lives in Kansas!
2,"Auburn, IN",41.367,-85.053,My dad lives in Indiana!
2,"Astoria, OR",46.192,-123.802,Visited a friend's family
2,"Portland, OR",45.583,-122.682,Visited for a friend's wedding
2,"Ojai, CA",34.449,-119.247,
2,"Oceanside, CA",33.202,-117.3732092,My aunt got married here
2,"Mount Shasta, CA",41.416,-122.222,Went skiing on mount shasta
2,"Chico, CA",39.7294,-121.845,Visited friends at CSU Chico
2,"San Franciso, CA",37.789,-122.4129,Great concerts and nice airport
2,"Oakland, CA",37.751,-122.201,Great concerts and nice airport
2,"Sierra Nevada, CA",37.6138,-118.833,SNARL
2,"Lake Tahoe, CA",39.176,-120.1569436,
2,"Morro Bay, CA",35.35682034,-120.8423548,
1,"Sebastopol, CA",38.451,-122.868,
2,"Monterey, CA",36.617,-121.9016538,
2,"Santa Cruz, CA",36.9613,-122.0245,
